"","CO_ANO","CO_MES","CO_NCM","CO_UNID","CO_PAIS","SG_UF_NCM","CO_VIA","CO_URF","QT_ESTAT","KG_LIQUIDO","VL_FOB"
"1353",2018,2,85015110,11,23,"ES",1,927700,42,892,4641
"1354",2018,7,84819090,10,158,"RS",7,1017500,5,5,1186
"1355",2018,12,9011110,21,628,"MG",0,817800,349,370895,1063450
"1356",2018,1,63072000,10,169,"RS",4,817600,5,5,707
"1357",2018,11,68029990,10,244,"ES",1,817800,31681,31681,74194
"1358",2018,10,85369090,11,158,"SP",4,817700,2536,579,8847
"1359",2018,11,90251990,11,365,"RS",4,817700,1,0,150
"1360",2018,11,84212990,11,249,"SP",1,817800,922,398,9332
"1361",2018,5,85444200,10,169,"SP",4,817700,546,545,16747
"1362",2018,8,84649090,11,687,"SP",0,817800,68,634,6289
"1363",2018,12,22042100,17,351,"ES",0,727600,85,64,365
"1364",2018,5,84679200,10,63,"ND",7,1017500,432,432,11680
"1365",2018,7,74182000,10,586,"SP",7,147800,49,49,1159
"1366",2018,2,73182900,10,676,"SP",4,817600,14,14,157
"1367",2018,10,84798999,11,63,"SP",7,917500,0,11319,309325
"1368",2018,11,69099000,10,586,"SP",9,917500,60,60,280
"1369",2018,11,84833090,11,586,"PR",9,917500,88,83,765
"1370",2018,8,8045020,10,245,"PE",0,420154,400512,400512,436594
"1371",2018,12,7133399,10,476,"PR",0,917800,33,55,97
"1372",2018,4,33061000,10,586,"SP",7,917500,160463,160463,353840
"1373",2018,12,84835010,11,493,"SC",1,927700,2631,1187,30439
"1374",2018,10,41071920,15,249,"SP",4,817600,16,13,2039
"1375",2018,11,87081000,11,493,"RS",1,1017700,4,0,652
"1376",2018,6,38249931,10,586,"SP",7,917500,2161,5834,23534
"1377",2018,6,73121090,10,158,"MG",1,817800,45540,45540,44059
"1378",2018,1,83016000,10,647,"SP",4,717700,1,1,318
"1379",2018,11,39159000,10,586,"PR",7,917500,49142,49142,12286
"1380",2018,11,94036000,11,249,"SC",4,817700,65,942,15570
"1381",2018,6,58109100,10,586,"SC",7,917500,371,371,28166
"1382",2018,9,6029021,11,63,"SP",4,817700,5000,220,8918
"1383",2018,12,40103100,10,586,"MG",7,917500,4,4,230
"1384",2018,8,84133030,11,158,"SP",4,817600,5,11,274
"1385",2018,2,90173090,11,589,"ND",4,817600,5,1,957
"1386",2018,11,84329000,10,149,"SC",0,927800,23065,23065,286994
"1387",2018,1,40169300,10,317,"RS",4,817600,13,13,24891
"1388",2018,12,9041100,10,573,"SP",0,817800,1,1,12
"1389",2018,3,73181500,10,845,"SP",7,1010252,512,512,1043
"1390",2018,3,82055900,10,845,"SP",4,817700,5,5,248
"1391",2018,3,44071100,16,776,"SC",1,927800,1331,606211,260195
"1392",2018,6,91070010,11,586,"PE",9,917500,10,1,193
"1393",2018,11,40103100,10,239,"SP",1,817800,971,1011,45567
"1394",2018,9,85013110,11,365,"SP",1,817800,3,1,20
"1395",2018,10,23099090,10,169,"SP",4,817700,500,500,2465
"1396",2018,10,39174090,10,97,"SP",7,147600,19440,19472,148092
"1397",2018,12,12099900,10,195,"PR",4,817700,193,30,10108
"1398",2018,12,85432000,11,23,"SP",4,817600,5,4,254149
"1399",2018,9,52010020,21,81,"MT",1,817800,4956,4956234,8745963
"1400",2018,8,84099111,11,317,"SP",4,817700,12,7,821
"1401",2018,2,90321090,11,63,"SP",7,1017503,177,33,7112
"1402",2018,12,40093100,10,759,"SP",4,817600,51,51,2105
"1403",2018,11,64041900,13,611,"RS",4,817600,4610,3160,51657
"1404",2018,10,35069190,10,97,"RS",7,147600,15950,15950,42439
"1405",2018,7,90262010,11,545,"SP",4,817700,2,2,119
"1406",2018,10,90181210,11,249,"SP",4,817600,117,546,105212
"1407",2018,6,84212300,11,158,"SP",7,1017500,17201,8918,71598
"1408",2018,6,48203000,10,845,"RS",7,1017701,1537,1537,4296
"1409",2018,1,87082991,11,63,"SP",1,817800,1704,3701,41900
"1410",2018,1,85444200,10,850,"PR",4,817600,2,2,87
"1411",2018,8,84818099,11,623,"SP",4,817600,2,0,11
"1412",2018,4,61178090,10,23,"SP",4,817600,8,8,217
"1413",2018,4,44111310,16,249,"SP",1,817800,191,147663,59293
"1414",2018,10,24012030,10,301,"RS",1,1017700,361600,361600,1878704
"1415",2018,10,84249090,10,589,"SP",4,817700,223,211,7094
"1416",2018,11,94017900,11,845,"SP",7,1017701,451,7531,55133
"1417",2018,11,71039900,19,249,"MG",12,617700,18200,3,12227
"1418",2018,10,84313110,10,169,"SP",4,817600,111,106,9899
"1419",2018,8,84099917,11,521,"SP",4,817700,10,0,9
"1420",2018,9,76090000,10,239,"SP",4,817700,38,38,5476
"1421",2018,11,84818099,11,158,"SP",4,817700,950,70,18402
"1422",2018,8,38231990,10,399,"SP",0,817800,20280,20280,33431
"1423",2018,11,84849000,10,169,"RS",4,817600,1,1,842
"1424",2018,12,71162090,10,275,"BA",12,517801,0,0,44
"1425",2018,5,48139000,10,249,"RJ",1,717600,455837,455837,981203
"1426",2018,7,49111090,10,586,"ND",7,917500,35,35,158
"1427",2018,6,63026000,10,97,"SC",7,147600,9073,9073,112653
"1428",2018,11,2023000,10,281,"MS",0,817800,56037,56037,129034
"1429",2018,2,40169300,10,845,"RS",7,1010252,101,101,311
"1430",2018,10,87019590,11,63,"SP",7,1017503,4,39760,379269
"1431",2018,2,15180090,10,158,"SP",7,1017500,5100,5100,8517
"1432",2018,2,38140090,10,158,"SP",4,817600,0,0,0
"1433",2018,2,87089300,11,240,"SP",4,817600,95,318,9988
"1434",2018,6,39199020,10,756,"RS",1,917800,1,1,93
"1435",2018,2,68041000,10,493,"SP",1,817800,21,21,227
"1436",2018,2,84123110,11,589,"SP",4,817600,4,6,2215
"1437",2018,3,29239050,10,239,"SP",1,817800,10000,10000,17340
"1438",2018,12,94035000,11,249,"SC",0,927800,9896,306278,801376
"1439",2018,3,85122021,11,63,"SP",7,1017503,1862,56,4427
"1440",2018,1,21022000,10,365,"SP",1,817800,426550,426550,340726
"1441",2018,7,87089300,11,845,"ES",7,1017701,3,6,585
"1442",2018,9,56039490,10,169,"SP",4,817700,1232,1232,22176
"1443",2018,9,84139190,10,239,"SP",1,817800,0,0,7
"1444",2018,9,90184999,11,158,"SP",4,817700,265,82,6679
"1445",2018,1,84832000,11,63,"PR",4,817600,6,6,102
"1446",2018,4,84123110,11,169,"SP",1,817800,10,16,728
"1447",2018,9,11031100,10,386,"SP",1,817800,600,600,1538
"1448",2018,4,84099929,11,63,"SP",7,1017503,13453,20828,253754
"1449",2018,4,60063210,10,63,"SP",4,817600,767,767,24638
"1450",2018,11,34029090,10,239,"RS",1,1017700,74,74,284
"1451",2018,10,87060010,11,169,"RJ",1,817800,20,56790,470650
"1452",2018,7,96100000,10,586,"PR",9,917500,1337,1337,2056
"1453",2018,10,70071100,11,845,"PR",4,817600,3,8,35
"1454",2018,10,8072000,10,628,"MG",4,817600,11250,11250,12943
"1455",2018,9,11010010,10,434,"RJ",0,717600,55,55,47
"1456",2018,10,40169990,10,589,"SC",0,817800,1,1,11
"1457",2018,8,73182900,10,756,"RS",1,1017700,1,1,19
"1458",2018,2,40169300,10,603,"RJ",4,817700,1,1,228
"1459",2018,7,85423291,11,249,"SP",4,817600,1,0,312
"1460",2018,8,90178010,11,158,"PE",4,817600,100,20,95
"1461",2018,9,73182400,10,776,"SP",4,817600,1,1,15
"1462",2018,10,85123000,11,63,"SP",7,1017500,285,96,1406
"1463",2018,10,84831090,11,63,"SP",7,1017503,71,431,8326
"1464",2018,5,84798991,11,158,"SP",7,1017500,1,10,560
"1465",2018,2,85363090,11,275,"SP",1,817800,11835,141,13317
"1466",2018,2,84715090,11,249,"ND",4,817600,7,104,10704
"1467",2018,5,40169990,10,586,"RJ",7,917500,0,0,9
"1468",2018,10,84749000,10,586,"RS",7,917500,353,355,3158
"1469",2018,9,84819090,10,97,"SP",7,147600,725,677,46893
"1470",2018,4,84213920,11,493,"SC",1,817800,261,13817,162888
"1471",2018,4,96035000,11,63,"RS",7,1017500,132,41,471
"1472",2018,9,87082999,11,63,"SP",7,1017500,287310,378306,1293203
"1473",2018,9,34021300,10,63,"BA",1,517800,479920,479920,940871
"1474",2018,11,3075100,10,163,"MA",9,320151,15,15,174
"1475",2018,3,41041114,15,160,"MS",1,927502,69970,318084,597615
"1476",2018,9,40111000,11,249,"RJ",4,717700,139,1369,10122
"1477",2018,1,85168090,11,607,"SC",1,927800,66,4,174
"1478",2018,8,64035990,13,239,"SP",0,817800,260,285,8836
"1479",2018,12,94035000,11,589,"SP",0,817800,75,6722,13246
"1480",2018,3,94035000,11,239,"RS",1,1017700,1437,92664,89327
"1481",2018,2,90269090,10,169,"SP",4,817700,7,7,684
"1482",2018,10,73269090,10,317,"SP",4,817600,91,62,2317
"1483",2018,8,7031019,10,628,"RJ",0,717800,40,40,35
"1484",2018,3,8072000,10,573,"RN",4,717700,23186,23186,24833
"1485",2018,5,61046900,11,845,"SP",4,817600,34,10,485
"1486",2018,5,73182200,10,521,"RS",1,817800,0,0,2
"1487",2018,12,39269090,10,63,"BA",1,817800,2,2,151
"1488",2018,11,62034300,11,586,"SC",7,917500,3522,560,26078
"1489",2018,4,85129000,10,199,"SP",1,817800,3,3,125
"1490",2018,9,73151210,10,660,"SP",4,817600,87,87,1880
"1491",2018,8,64019200,13,249,"SP",4,817600,6,6,1243
"1492",2018,10,52010020,21,190,"MT",1,817800,7215,7214198,12049127
"1493",2018,1,84836090,11,317,"SP",1,817800,8,392,154
